BK_A001 : BK_A051, BK_A049, BK_A080, BK_A099
BK_A123 : BK_A079, BK_A060, BK_S009, BK_A112
BK_A124 : BK_A050, BK_A082, BK_A008, BK_A072
BK_A125 : BK_A076, BK_A113, BK_A114, BK_A064
BK_S001 : DISCONNECTED, DISCONNECTED, DISCONNECTED, BK_A014 : SHELTER
BK_S002 : DISCONNECTED, DISCONNECTED, DISCONNECTED, BK_A050 : SHELTER
BK_S003 : DISCONNECTED, DISCONNECTED, DISCONNECTED, BK_A022 : SHELTER
BK_S004 : DISCONNECTED, DISCONNECTED, DISCONNECTED, BK_A068 : SHELTER
BK_S005 : DISCONNECTED, DISCONNECTED, DISCONNECTED, BK_A065 : SHELTER
BK_S006 : DISCONNECTED, DISCONNECTED, DISCONNECTED, BK_A122 : SHELTER
BK_S007 : DISCONNECTED, DISCONNECTED, DISCONNECTED, BK_A003 : SHELTER
BK_S008 : DISCONNECTED, DISCONNECTED, DISCONNECTED, BK_A003 : SHELTER
BK_S009 : DISCONNECTED, DISCONNECTED, DISCONNECTED, BK_A123 : SHELTER
BK_S010 : DISCONNECTED, DISCONNECTED, DISCONNECTED, BK_A035 : SHELTER
BK_S011 : DISCONNECTED, DISCONNECTED, DISCONNECTED, BK_A006 : SHELTER
BK_S012 : DISCONNECTED, DISCONNECTED, DISCONNECTED, BK_A117 : SHELTER
BK_S013 : DISCONNECTED, DISCONNECTED, DISCONNECTED, BK_A014 : SHELTER
BK_S014 : DISCONNECTED, DISCONNECTED, DISCONNECTED, BK_A005 : SHELTER
BK_S015 : DISCONNECTED, DISCONNECTED, DISCONNECTED, BK_A068 : SHELTER
BK_S016 : DISCONNECTED, DISCONNECTED, DISCONNECTED, BK_A029 : SHELTER
